4.9747 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
135.8801 	EXP 	grating: tex = 'sin'
136.1801 	EXP 	grating: autoDraw = False
136.3003 	DATA 	Keypress: right
136.3133 	EXP 	fixation: autoDraw = False
136.3133 	EXP 	grating: autoDraw = False
136.3136 	EXP 	window1: recordFrameIntervals = False
136.3302 	EXP 	window1: recordFrameIntervals = False
137.3023 	EXP 	fixation: autoDraw = True
138.3134 	EXP 	fixation: autoDraw = False
138.3134 	EXP 	grating: autoDraw = True
138.3134 	EXP 	grating: tex = 'sin'
138.6133 	EXP 	grating: autoDraw = False
138.7166 	DATA 	Keypress: left
138.7299 	EXP 	fixation: autoDraw = False
138.7299 	EXP 	grating: autoDraw = False
138.7301 	EXP 	window1: recordFrameIntervals = False
138.7467 	EXP 	window1: recordFrameIntervals = False
139.7181 	EXP 	fixation: autoDraw = True
140.7299 	EXP 	fixation: autoDraw = False
140.7299 	EXP 	grating: autoDraw = True
140.7299 	EXP 	grating: tex = 'sin'
141.0297 	EXP 	grating: autoDraw = False
141.1179 	DATA 	Keypress: right
141.1299 	EXP 	fixation: autoDraw = False
141.1299 	EXP 	grating: autoDraw = False
141.1302 	EXP 	window1: recordFrameIntervals = False
141.1469 	EXP 	window1: recordFrameIntervals = False
142.1194 	EXP 	fixation: autoDraw = True
143.1300 	EXP 	fixation: autoDraw = False
143.1300 	EXP 	grating: autoDraw = True
143.1300 	EXP 	grating: tex = 'sin'
143.4297 	EXP 	grating: autoDraw = False
143.5832 	DATA 	Keypress: right
143.5964 	EXP 	fixation: autoDraw = False
143.5964 	EXP 	grating: autoDraw = False
143.5967 	EXP 	window1: recordFrameIntervals = False
143.6131 	EXP 	window1: recordFrameIntervals = False
144.5840 	EXP 	fixation: autoDraw = True
145.5964 	EXP 	fixation: autoDraw = False
145.5964 	EXP 	grating: autoDraw = True
145.5964 	EXP 	grating: tex = 'sin'
145.8963 	EXP 	grating: autoDraw = False
146.0992 	DATA 	Keypress: left
146.1006 	EXP 	fixation: autoDraw = False
146.1006 	EXP 	grating: autoDraw = False
146.1130 	EXP 	window1: recordFrameIntervals = False
146.1297 	EXP 	window1: recordFrameIntervals = False
147.1006 	EXP 	fixation: autoDraw = True
148.1131 	EXP 	fixation: autoDraw = False
148.1131 	EXP 	grating: autoDraw = True
148.1131 	EXP 	grating: tex = 'sin'
148.4128 	EXP 	grating: autoDraw = False
148.5499 	DATA 	Keypress: left
148.5630 	EXP 	fixation: autoDraw = False
148.5630 	EXP 	grating: autoDraw = False
148.5633 	EXP 	window1: recordFrameIntervals = False
148.5797 	EXP 	window1: recordFrameIntervals = False
149.5525 	EXP 	fixation: autoDraw = True
150.5631 	EXP 	fixation: autoDraw = False
150.5631 	EXP 	grating: autoDraw = True
150.5631 	EXP 	grating: tex = 'sin'
150.8627 	EXP 	grating: autoDraw = False
150.9829 	DATA 	Keypress: right
150.9961 	EXP 	fixation: autoDraw = False
150.9961 	EXP 	grating: autoDraw = False
150.9964 	EXP 	window1: recordFrameIntervals = False
151.0129 	EXP 	window1: recordFrameIntervals = False
151.9849 	EXP 	fixation: autoDraw = True
152.9963 	EXP 	fixation: autoDraw = False
